"Step","fast-microwave-1 - loss/current","fast-microwave-1 - loss/current__MIN","fast-microwave-1 - loss/current__MAX"
"1","0.034868769347667694","0.034868769347667694","0.034868769347667694"
"2","0.07683128118515015","0.07683128118515015","0.07683128118515015"
"3","0.02822084166109562","0.02822084166109562","0.02822084166109562"
"4","0.16035452485084534","0.16035452485084534","0.16035452485084534"
"5","0.035229165107011795","0.035229165107011795","0.035229165107011795"
"6","0.05096176266670227","0.05096176266670227","0.05096176266670227"
"7","0.07269271463155746","0.07269271463155746","0.07269271463155746"
"8","0.03239607810974121","0.03239607810974121","0.03239607810974121"
"9","0.3446929454803467","0.3446929454803467","0.3446929454803467"
"10","0.025638189166784286","0.025638189166784286","0.025638189166784286"
"11","0.07180789113044739","0.07180789113044739","0.07180789113044739"
"12","0.14086048305034637","0.14086048305034637","0.14086048305034637"
"13","0.06500742584466934","0.06500742584466934","0.06500742584466934"
"14","0.0976264476776123","0.0976264476776123","0.0976264476776123"
"15","0.1528077870607376","0.1528077870607376","0.1528077870607376"
"16","0.18029461801052094","0.18029461801052094","0.18029461801052094"
"17","0.05174565315246582","0.05174565315246582","0.05174565315246582"
"18","0.0382244810461998","0.0382244810461998","0.0382244810461998"
"19","0.12029172480106354","0.12029172480106354","0.12029172480106354"
"20","0.062003619968891144","0.062003619968891144","0.062003619968891144"
"21","0.041576363146305084","0.041576363146305084","0.041576363146305084"
"22","0.07612250745296478","0.07612250745296478","0.07612250745296478"
"23","0.07769244909286499","0.07769244909286499","0.07769244909286499"
"24","0.1408984661102295","0.1408984661102295","0.1408984661102295"
"25","0.15468353033065796","0.15468353033065796","0.15468353033065796"
"26","0.10474838316440582","0.10474838316440582","0.10474838316440582"
"27","0.14269934594631195","0.14269934594631195","0.14269934594631195"
"28","0.07905901968479156","0.07905901968479156","0.07905901968479156"
"29","0.03286737948656082","0.03286737948656082","0.03286737948656082"
"30","0.353484570980072","0.353484570980072","0.353484570980072"
"31","0.3073577880859375","0.3073577880859375","0.3073577880859375"
"32","0.10701888054609299","0.10701888054609299","0.10701888054609299"
"33","0.026563430204987526","0.026563430204987526","0.026563430204987526"
"34","0.11397679895162582","0.11397679895162582","0.11397679895162582"
"35","0.15189051628112793","0.15189051628112793","0.15189051628112793"
"36","0.16597536206245422","0.16597536206245422","0.16597536206245422"
"37","0.013174930587410927","0.013174930587410927","0.013174930587410927"
"38","0.06786630302667618","0.06786630302667618","0.06786630302667618"
